,sentiment,text
0,0,is upset that he cant update his facebook by texting it and might cry as a result  school today also blah
1,0, i dived many times for the ball managed to save 50  the rest go out of bounds
2,0,my whole body feels itchy and like its on fire 
3,0, no its not behaving at all im mad why am i here because i cant see you all over there 
4,0, not the whole crew 
5,0,need a hug 
6,0, hey  long time no see yes rains a bit only a bit  lol  im fine thanks  hows you 
7,0,k nope they didnt have it 
8,0, que me muera  
9,0,spring break in plain city its snowing 
10,0,i just repierced my ears 
11,0, i couldnt bear to watch it  and i thought the ua loss was embarrassing     
12,0, it it counts idk why i did either you never talk to me anymore 
13,0, i wouldve been the first but i didnt have a gun not really though zac snyders just a doucheclown
14,0, i wish i got to watch it with you i miss you and how was the premiere
15,0,hollis death scene will hurt me severely to watch on film  wry is directors cut not out now
16,0,about to file taxes 
17,0, ahh ive always wanted to see rent  love the soundtrack
18,0, oh dear were you drinking out of the forgotten table drinks 
19,0, i was out most of the day so didnt get much done 
20,0,one of my friend called me and asked to meet with her at mid valley todaybut ive no time sigh 
21,0,barista i baked you a cake but i ated it 
22,0,this week is not going as i had hoped 
23,0,blagh class at 8 tomorrow 
24,0,i hate when i have to call and wake people up 
25,0,just going to cry myself to sleep after watching marley and me  
26,0,im sad now  misslilly
27,0,oh lol  that leslie and ok i wont do it again so leslie wont  get mad again 
28,0,meh almost lover is the exception this track gets me depressed every time 
29,0,some1 hacked my account on aim  now i have to make a new one
30,0, i want to go to promote gear and groove but unfornately no ride there  i may b going to the one in anaheim in may though
31,0,thought sleeping in was an option tomorrow but realizing that it now is not evaluations in the morning and work in the afternoon 
32,0, awe i love you too 1 am here  i miss you
33,0, i cry my asian eyes to sleep at night 
34,0,ok im sick and spent an hour sitting in the shower cause i was too sick to stand and held back the puke like a champ bed now 
35,0, ill tell ya the story later  not a good day and ill be workin for like three more hours
36,0, sorry bed time came here gmt1 
37,0, i dont either its depressing i dont think i even want to know about the kids in suitcases 
38,0,bed class 812 work 123 gym 35 or 6 then class 610 another day thats gonna fly by i miss my girlfriend 
39,0,really dont feel like getting up today but got to study to for tomorrows practical exam 
40,0,hes the reason for the teardrops on my guitar the only one who has enough of me to break my heart 
41,0,sad sad sad i dont know why but i hate this feeling  i wanna sleep and i still cant
42,0, aw i soo wish i was there to see you finally comfortable im sad that i missed it 
43,0,falling asleep just heard about that tracy girls body being found how sad  my heart breaks for that family
44,0, yay im happy for you with your job but that also means less time for me and you 
45,0,just checked my user timeline on my blackberry it looks like the twanking is still happening  are ppl still having probs w bgs and uids
46,0,oh manwas ironing s fave top to wear to a meeting burnt it 
47,0,is strangely sad about lilo and samro breaking up 
48,0, oh im so sorry  i didnt think about that before retweeting
49,0,broadband plan a massive broken promise  via wdiigocomtautao still waiting for broadband we are 
